Year,SiteName,Path,MapsToRegatta
2026,IRC Double Handed National Championships,/results/event/0b89fd76-e0c4-4ad3-8b04-1c28f243258f/2026,2H Championships
2026,Cervantes Trophy Race,/raceresults/1ccad67b-674b-411a-87dc-79b3e336189e,RORC Cervantes Trophy (Offshore)
2026,RORC Easter Challenge,/results/event/7318e12f-d43e-47c2-9cbd-263d8e03d7b2/2026,RORC Easter Challenge
2025,2025 Offshore Double Handed World Championships,/results/event/9ca7b7db-f705-417d-b9fa-aad170b2cb2b/2025,2H Championships
2025,Cervantes Trophy Race (R1 Cowes Offshore Racing),/raceresults/f8255aaf-35bd-4757-b744-8052eddae976,RORC Cervantes Trophy (Offshore)
2025,RORC Easter Challenge,/results/event/ded0f7d7-d7f7-4fd4-acb6-8c7dd84ee1ad/2025,RORC Easter Challenge
2024,"Vice Admirals Cup GP Zero, P40, J/111, J/109",/results/event/c105cf30-0529-47c5-8099-ce4ab22b750c/2024,RORC Vice Admiral's Cup
2024,Vice Admirals Cup Cape 31 & J/70,/results/event/5f9bf5a3-1004-46c7-8571-de7bc0364272/2024,RORC Vice Admiral's Cup
2024,Cervantes Trophy Race,/raceresults/59740459-3251-4c21-9a34-114fdb670894,RORC Cervantes Trophy (Offshore)
2024,RORC Easter Challenge,/results/event/caae9f33-8e2b-4cde-b792-2e9643447049/2024,RORC Easter Challenge
2023,Vice Admirals Cup Cape 31,/results/event/bf1cc928-7b43-43ba-ba46-03f279e73ae2/2023,RORC Vice Admiral's Cup
2023,Vice Admirals Cup,/results/event/51239052-c43a-45ad-9c88-fb8b95f31d81/2023,RORC Vice Admiral's Cup
2023,Cervantes Trophy Race,/raceresults/d53171d9-3a76-ed11-81ac-00224841bd72,RORC Cervantes Trophy (Offshore)
2023,RORC Easter Regatta,/results/event/6d94bb10-1a8e-401e-9ed3-3f38d6b6ecd1/2023,RORC Easter Challenge
