Region,Championship,HostEvent,Venue,Dates2026,IRCBoats,TotalFleet,Basis,Source
National,IRC National Championship,Dartmouth Regatta Sailing Week,Dartmouth,27-30 Aug,61,,counted from the regatta's own class results (IRC0 9 / IRC1 12 / IRC2 12 / IRC3 13 / IRC4 15),https://dartmouthsailingweek.com/results/
Southern,IRC Southern Championship,International Paint Poole Regatta,Poole Bay,22-25 May,7,133,"the regatta's own IRC class only; the 52 Europeans boats are counted on the row below",https://pooleregatta.co.uk/entry-list-ipp/
European,IRC European Championship UK,International Paint Poole Regatta,Poole Bay,22-26 May,52,,entry list by class (IRC0 4 / IRC1 13 / IRC2 16 / IRC3 19),https://pooleregatta.co.uk/entry-list-euros/
East Coast,IRC East Coast Championship,Ramsgate Week,Ramsgate,22-24 Jul,34,34,"single combined handicap entry list; IRC subset not separately published",https://halsail.com/Boat/Entries/92668
Scottish,IRC Scottish Championship,Jura Scottish Series,"Tarbert, Loch Fyne",22-25 May,24,82,"IRC 1 (14) and IRC Coastal (10); the other 58 boats race CYCA handicap or one-design",https://halsail.com/Result/Event/5118
Channel Islands,IRC Channel Island Championship,Jersey Regatta,Jersey,4-6 Sep,,65,"organiser's report of the 28th edition: 'some sixty-five boats competed'; IRC subset not published",https://jerseyregatta.com
Bristol Channel,IRC Bristol Channel Championship,Shanghai Cup,Portishead / Cardiff,9-10 & 23-24 May,17,32,entry list; the Nimrod Cup adds a further 15 boats,https://www.shanghaicup.co.uk/competitors/
South West,IRC South West Championship,Torbay Royal Regatta,Torbay,22-24 Aug,,,"organiser expects 'up to 100 boats' across IRC plus the J/24, RS21 and Impala nationals; no IRC split published",https://rtyc.org/event/torbay-royal-regatta-2026/
Welsh,IRC Welsh National Championship,Cardigan Bay Celtic Regatta,Pwllheli,4-6 Sep,,,competitor list not published at time of research,https://www.ircwelshchamps.com
Northern Ireland,IRC Northern Ireland Championship,Carrickfergus Sailing Club,Belfast Lough,8-9 Aug,,,no entry or results list published at time of research,https://www.carrickfergussc.org
North West,IRC North West Championship,Liverpool Yacht Club,Liverpool,29-31 May,,,new championship for 2026; no entry or results list published at time of research,https://www.lyc.org.uk/
