Pattern,Venue,Country,Lat,Lon
# Matched case-insensitively against the regatta name, FIRST MATCH WINS, so the
# most specific patterns come first. Edit freely: this is the only place the
# globe gets its coordinates from. Lat/Lon are the racing area, not the town hall.
cowes dinard|dinard st malo|cowes-dinard,Saint-Malo,FRA,48.649,-2.026
cowes-st malo|rorc cowes-st malo,Saint-Malo,FRA,48.649,-2.026
cowes week|round the island|taittinger|vice admiral|rorc easter|race the wight,Solent,GBR,50.740,-1.310
cowes|solent|royal southern|hamble|warsash|lymington|yarmouth|\bxod\b|half ton|one ton|stug perry|telegraph,Solent,GBR,50.740,-1.310
fastnet,Fastnet Rock,IRL,51.385,-9.600
myth of malham|eddystone,Eddystone,GBR,50.183,-4.258
cervantes|de guingand|morgan cup|rorc channel race|castle rock|rorc spring|season points|rorc 2h|two-handed|2h championships,Solent,GBR,50.740,-1.310
cherbourg|lonely tower,Cherbourg,FRA,49.640,-1.616
st vaast|saint vaast,Saint-Vaast-la-Hougue,FRA,49.590,-1.266
deauville,Deauville,FRA,49.360,0.075
st peter port|guernsey,Saint Peter Port,GGY,49.455,-2.536
alderney,Alderney,GGY,49.717,-2.200
jersey,Saint Helier,JEY,49.183,-2.111
la trinite,La Trinite-sur-Mer,FRA,47.586,-3.030
drheam|la trinite-cherbourg,La Trinite-sur-Mer,FRA,47.586,-3.030
normandy channel|caen,Caen,FRA,49.280,-0.370
spi ouest,La Trinite-sur-Mer,FRA,47.586,-3.030
transat caf|le havre,Le Havre,FRA,49.490,0.107
figaro|les sables|vendee|ultim|odyss,Les Sables-d'Olonne,FRA,46.497,-1.783
tour voile|lorient,Lorient,FRA,47.748,-3.370
course des caps|brest,Brest,FRA,48.390,-4.486
saint-tropez|st tropez,Saint-Tropez,FRA,43.269,6.640
voiles d'antibes|antibes,Antibes,FRA,43.581,7.126
regates royales|cannes,Cannes,FRA,43.551,7.018
giraglia,Saint-Tropez,FRA,43.269,6.640
primo cup|monaco|monte carlo,Monaco,MCO,43.735,7.421
palermo,Palermo,ITA,38.120,13.360
middle sea|malta|valletta,Valletta,MLT,35.895,14.514
porto cervo|maxi yacht rolex|swan cup|sardinia|porto rafael|porto rotondo,Porto Cervo,ITA,41.135,9.535
tre golfi|sorrento|capri|naples|napoli,Naples,ITA,40.630,14.250
loro piana|portofino|santa margherita,Portofino,ITA,44.303,9.210
imperia|sanremo,Imperia,ITA,43.880,8.020
151 miglia|livorno,Livorno,ITA,43.548,10.310
garda|riva del garda,Lake Garda,ITA,45.880,10.850
copa del rey|palma|mallorca|balears|joysail|ibiza,Palma de Mallorca,ESP,39.560,2.640
menorca|mahon,Mahon,ESP,39.885,4.265
princesa sof,Palma de Mallorca,ESP,39.560,2.640
barcelona|j70 european championship 2026,Barcelona,ESP,41.370,2.190
trofeo la reina|trofeo s.m|valencia,Valencia,ESP,39.450,-0.320
cascais|lisbon|portugal,Cascais,PRT,38.690,-9.420
la larga|mediterraneo|cartagena,Cartagena,ESP,37.590,-0.970
aegean|athens|greece|cyclades,Athens,GRC,37.900,23.700
kiel,Kiel,DEU,54.400,10.180
nordseewoche|helgoland,Helgoland,DEU,54.180,7.890
north sea regatta|scheveningen|stellendam|hoek,Scheveningen,NLD,52.100,4.260
rorc north sea race|north sea race,Scheveningen,NLD,52.100,4.260
