Family,Variants,Boats,Verdict,KeepAs,DoNotFold,MyCall,MyConfidence
"S&S 34","S&s 34 | S & S 34",3,Same boat,"S&S 34","",Same boat,99%
"C&C 115","C&c 115 | C & C 115",2,Same boat,"C&C 115","",Same boat,99%
"Bavaria 40","Bavaria 40 S | Bavaria 40 Sport",2,Same boat,"Bavaria 40 S","",Same boat,90%
"RS21","RS21 | RS21 Custom",2,Keep separate,"","",Same boat,95%
"J/V 52","J/v 52 | J/v 52 Custom",2,Same boat,"J/V 52","",Same boat,80%
"First 40.7","First 40.7 | First 40.7 Distinction",59,Keep separate,"","",Same boat,92%
"Sigma 38","Sigma 38 | Sigma 38 OOD | Sigma 38 Mod",36,Same boat,"Sigma 38","Sigma 38 Mod",Same boat,88%
"Sigma 33","Sigma 33 | Sigma 33 OOD",25,Same boat,"Sigma 33","",Same boat,85%
"X-40","X-40 | X-40 Custom",9,Keep separate,"","",Same boat,85%
"X-362","X-362 Sport | X-362 | X-362 S",10,Same boat,"X-362 Sport","X-362",Same boat,82%
"X-332","X-332 | X-332 Sport | X-332 S",24,Same boat,"X-332 Sport","X-332",Same boat,70%
"Xp 44","Xp 44 | Xp 44 Sport",10,Keep separate,"","",Same boat,70%
"X-442","X-442 | X-442 Mk II",6,Keep separate,"","",Same boat,75%
"X-412","X-412 | X-412 Mk III | X-412 Mk II",5,Keep separate,"","",Same boat,75%
"X-302","X-302 | X-302 Mk II",4,Keep separate,"","",Same boat,75%
"Dufour 34","Dufour 34 | Dufour 34 E",6,Keep separate,"","",Same boat,55%
"Comet 45","Comet 45 | Comet 45 S",2,Keep separate,"","",Same boat,60%
"First 29","First 29 | First 29 SQ",2,Keep separate,"","",Same boat,50%
"Sun Fast 3200","Sun Fast 3200 | Sun Fast 3200 R2",37,Keep separate,"","",Keep separate,85%
"Swan 46","Swan 46 | Swan 46 Mk II | Swan 46 Mk I",10,Keep separate,"","",Keep separate,90%
"Swan 44","Swan 44 | Swan 44 Mk II",7,Keep separate,"","",Keep separate,90%
"Swan 47","Swan 47 | Swan 47 Mk II",3,Keep separate,"","",Keep separate,80%
"Grand Soleil 37","Grand Soleil 37 | Grand Soleil 37 B&C",6,Keep separate,"","",Keep separate,85%
"Swan 55","Swan 55 Yawl | Swan 55",6,Keep separate,"","",Keep separate,75%
"S&S 57","S&s 57 | S&s 57 Yawl",2,Keep separate,"","",Keep separate,75%
"Dehler 39","Dehler 39 | Dehler 39 SQ",6,Keep separate,"","",Keep separate,60%
"Dehler 36","Dehler 36 | Dehler 36 SQ",4,Keep separate,"","",Keep separate,60%
"Swan 82","Swan 82 | Swan 82 S",4,Keep separate,"","",Keep separate,55%
"One Off","One Off | One Off Yawl",6,Not a type,"","",Not a type,97%
"Classic","Classic Yawl | Classic",3,Not a type,"","",Not a type,97%
