Class,Pos,BoatName,Owner,Total
Class Zero IRC,1,RAN,,27.0
Class Zero IRC,2,RIO,,23.0
Class Zero IRC,3,STAY CALM,,37.0
Class Zero IRC,4,PANTHERA,,29.0
Class Zero IRC,5,ALEGRE,,47.0
Class Zero IRC,6,HENRI LLOYD,,38.0
Class Zero IRC,7,CHERNIKEEFF 2,,63.0
Class Zero IRC,8,JOHN MERRICKS II,,71.0
Class Zero IRC,9,BEAR OF BRITAIN,,79.0
Class Zero IRC,10,FORMIDABLE 3,,84.0
Class Zero IRC,11,AQUIS GRANUS,,102.0
Class Zero IRC,12,VENOMOUS,,108.0
Class Zero IRC,13,YEOMAN XXXII,,112.0
Class Zero IRC,14,PINDAR ALPHAGRAPHICS,,119.0
Class Zero IRC,15,FLASH GLOVE,,128.0
Class 1 IRC,1,POPPY OF PORTLAND,,40.0
Class 1 IRC,2,YES! MURPHY & NYE,,65.0
Class 1 IRC,3,MOANA,,32.0
Class 1 IRC,4,DARK & STEAMY,,34.0
Class 1 IRC,5,PACE,,83.0
Class 1 IRC,6,OYSTERCATCHER XXVI,,86.0
Class 1 IRC,7,DAIKIN AIRCO,,59.0
Class 1 IRC,8,DESPERADO,,81.0
Class 1 IRC,9,ITALIA UNIVERSAL,,95.0
Class 1 IRC,10,MAVERICK 3,,87.0
Class 1 IRC,11,FAIR DO'S VII,,102.0
Class 1 IRC,12,GYR CASPIAN SERVICES,,108.0
Class 1 IRC,13,SKANDIA INVESTMENT,,113.0
Class 1 IRC,14,WEREWOLF,,124.0
Class 1 IRC,15,GILLY B,,130.0
Class 1 IRC,16,STARRY NIGHT,,154.0
Class 1 IRC,17,REBEL,,155.0
Class 1 IRC,18,EXOCET STRIKE,,157.0
Class 1 IRC,19,SHOCKWAVE,,163.0
Class 1 IRC,20,MOONDANCE,,174.0
Class 1 IRC,21,MINNIE THE MOOCHER,,174.0
Class 1 IRC,22,NOVUS ARCA,,185.0
Class 1 IRC,23,ATOMIC,,192.0
Class 2 IRC,1,PREMIER FLAIR,,66.0
Class 2 IRC,2,ALLARD,,55.0
Class 2 IRC,3,JOLLY JOKER,,111.5
Class 2 IRC,4,ANTILOPE,,54.0
Class 2 IRC,5,ERIVALE III,,87.0
Class 2 IRC,6,NUTMEG IV,,96.0
Class 2 IRC,7,QUOKKA,,98.0
Class 2 IRC,8,KING LOUIE,,107.5
Class 2 IRC,9,FINISTERRE CAPITAL,,113.5
Class 2 IRC,10,PANACEA,,88.0
Class 2 IRC,11,JOLLY JELLY FISH,,116.0
Class 2 IRC,12,SKY HUNTER,,126.0
Class 2 IRC,13,PHOENIX,,96.0
Class 2 IRC,14,CRACKLIN ROSIE,,139.0
Class 2 IRC,15,JUMP,,121.0
Class 2 IRC,16,CRACKER,,110.5
Class 2 IRC,17,SOFTWARE MISTRESS,,166.0
Class 2 IRC,18,ESPRIT,,154.0
Class 2 IRC,19,ROARK,,180.0
Class 2 IRC,20,SIMPLY THE BEST,,143.0
Class 2 IRC,21,SAILPLANE,,191.0
Class 2 IRC,22,TOE IN THE WATER,,205.0
Class 2 IRC,23,DELIVERANCE 2,,195.0
Class 2 IRC,24,OXYGEN III,,193.0
Class 2 IRC,25,KLAUS STORTEBECKER,,210.0
Class 2 IRC,26,PANTHER,,202.5
Class 2 IRC,27,CIRCUS,,226.0
Class 2 IRC,28,REVIVE,,210.5
Class 2 IRC,29,NIGHT OWL,,239.0
Class 2 IRC,30,HOT SOCKS,,240.0
Class 2 IRC,31,LUTINE,,247.0
Class 2 IRC,32,PI SQUARED,,271.0
Class 2 IRC,33,VESPUCCI'S BK SHEEP,,274.0
Class 2 IRC,34,WATER VENTURE,,279.0
Class 2 IRC,35,SABRIEL,,280.0
Class 2 IRC,36,JACOB'S LADDER,,292.0
Class 2 IRC,37,GREAT SCOT IV,,318.0
Class 2 IRC,38,GYRATE,,321.0
Class 2 IRC,39,TALISMAN,,322.0
Class 2 IRC,40,MAD MAX,,326.0
Class 2 IRC,41,CARDIGRAE X,,326.0
Class 2 IRC,42,STARCHASER,,352.0
Class 2 IRC,42,NORTHERN CHILD,,352.0
Class 3 IRC,1,SEATRACK,,31.0
Class 3 IRC,2,GRAND SLAM,,24.5
Class 3 IRC,3,SLEEPER,,31.0
Class 3 IRC,4,HURRYCANE VI,,85.0
Class 3 IRC,5,ALARIS,,52.0
Class 3 IRC,6,STEADY BARKER,,104.0
Class 3 IRC,7,X DREAM,,68.5
Class 3 IRC,8,JAGUAR LOGIC,,85.0
Class 3 IRC,9,BOOMERANG,,141.5
Class 3 IRC,10,MALICE,,93.5
Class 3 IRC,11,TURBULENCE TWO,,128.0
Class 3 IRC,12,ISKAREEN,,126.0
Class 3 IRC,13,XINSKA,,108.0
Class 3 IRC,14,EXTRA DJINN,,136.0
Class 3 IRC,15,EALA,,137.0
Class 3 IRC,16,ATHENA,,143.5
Class 3 IRC,17,NJOS,,167.0
Class 3 IRC,18,REBBONS,,144.5
Class 3 IRC,19,SANGUMA,,156.5
Class 3 IRC,20,MUSK-OX,,196.0
Class 3 IRC,21,PHOENIX,,184.0
Class 3 IRC,22,TONTIN,,206.0
Class 3 IRC,23,MAGIC,,202.0
Class 3 IRC,24,OLD MOTHER GUN,,199.0
Class 3 IRC,25,EXOCET OF MESSILAH,,210.0
Class 3 IRC,26,TEAM SEA SURE,,209.0
Class 3 IRC,27,SIRENSONG.NL,,219.0
Class 3 IRC,28,PUMA LOGIC,,239.0
Class 3 IRC,29,LIGHTNING REFLEX,,234.0
Class 3 IRC,30,GREAT ESCAPE,,232.0
Class 3 IRC,31,YOALLA 4,,243.0
Class 3 IRC,32,PANTHER,,236.0
Class 3 IRC,33,SWAN GALIANA,,238.5
Class 3 IRC,34,LV =,,253.0
Class 3 IRC,35,SPIRIT OF NEPTUNE,,279.0
Class 3 IRC,36,HARRY,,282.0
Class 3 IRC,37,EMT,,295.0
Class 3 IRC,38,MOULIN ROUGE,,296.0
Class 3 IRC,39,NEFER TARI,,297.0
Class 3 IRC,40,SWAN VALHALLA,,317.0
Class 4 IRC,1,SALVO,,21.0
Class 4 IRC,2,WINSOME,,23.5
Class 4 IRC,3,XCITABLE,,74.0
Class 4 IRC,4,VANILLA,,38.5
Class 4 IRC,5,SHIP SHOP AQUAHOLIC,,76.0
Class 4 IRC,6,INGWE,,99.0
Class 4 IRC,7,HOT RATS,,67.0
Class 4 IRC,8,HABANERO,,69.0
Class 4 IRC,9,JOS OF HAMBLE,,82.0
Class 4 IRC,10,TIGER DEVELOPMENTS,,130.5
Class 4 IRC,11,ELECTRON V,,102.5
Class 4 IRC,12,MINX 2,,115.0
Class 4 IRC,13,BLUE TACK,,145.0
Class 4 IRC,14,ILEX OF UPNOR,,177.0
Class 4 IRC,15,BOLOCAN,,140.5
Class 4 IRC,16,ACRIMONY 4,,165.0
Class 4 IRC,17,DIAMOND SUN,,165.0
Class 4 IRC,18,DRAGONFLY TOO,,147.0
Class 4 IRC,19,FULL PELT,,194.0
Class 4 IRC,20,XPEDITE,,203.0
Class 4 IRC,21,TRITON,,195.5
Class 4 IRC,22,CATHERINE,,217.0
Class 4 IRC,23,ZEBEDEE,,220.0
Class 4 IRC,24,KORU,,231.0
Class 4 IRC,25,MOTHER T,,231.4
Class 4 IRC,26,WHY KNOT,,245.5
Class 4 IRC,27,WHITE KNIGHT V,,246.0
Class 4 IRC,28,DEXTERITY,,248.0
Class 4 IRC,29,ALEXIRBLUE,,259.0
Class 4 IRC,30,QUESTAR,,269.0
Class 4 IRC,31,KRATOS,,273.0
Class 4 IRC,32,FASTRAK VI,,274.0
Class 4 IRC,33,DANNY,,278.0
Class 4 IRC,34,BARBAROSSA,,279.0
Class 4 IRC,35,SHAKA - CAMBIAN,,297.0
Class 4 IRC,36,FORZA!,,300.0
Class 4 IRC,37,A'ASSIFA,,302.0
Class 4 IRC,38,GLADEYE,,319.0
Class 4 IRC,39,CACTUS JACK,,323.0
Class 4 IRC,40,ARCTURUS,,328.0
Class 4 IRC,41,HULA,,337.0
Class 4 IRC,42,THREE SHEETS,,352.0
Class 4 IRC,42,REBEL,,352.0
Class 5 IRC (Sigma 38),1,THE PROJECT,,37.0
Class 5 IRC (Sigma 38),2,LIGHT,,43.0
Class 5 IRC (Sigma 38),3,MEFISTO,,45.7
Class 5 IRC (Sigma 38),4,PERSEPHONE OF LONDON,,33.0
Class 5 IRC (Sigma 38),5,MONET,,56.0
Class 5 IRC (Sigma 38),6,WITH ALACRITY,,43.0
Class 5 IRC (Sigma 38),7,GAUNTLET OF TAMAR,,69.0
Class 5 IRC (Sigma 38),8,DRAGONFLY OF BOSHAM,,80.0
Class 5 IRC (Sigma 38),9,TORBELLINO,,80.0
Class 5 IRC (Sigma 38),10,FLORENCE AGNES II,,81.0
Class 5 IRC (Sigma 38),11,PAVLOVA III,,94.0
Class 5 IRC (Sigma 38),12,MUSTIGO II,,92.0
Class 5 IRC (Sigma 38),13,ZANZARA,,93.0
Class 5 IRC (Sigma 38),14,FLYING FORMULA,,111.0
Class 5 IRC (Sigma 38),15,BEEFEATER,,122.0
Class 5 IRC (Sigma 38),16,BELLEROPHON OF WIGHT,,122.0
Class 5 IRC (Sigma 38),17,FLYING BANANA,,136.0
Class 5 IRC (Sigma 38),18,BELLMAN,,141.0
Class 6 IRC,1,DEAN AND DYBALL,,53.0
Class 6 IRC,2,COOL BLUE,,78.0
Class 6 IRC,3,SAIL4CANCER,,46.0
Class 6 IRC,4,RUTHLESS,,46.0
Class 6 IRC,5,ELUSIVE,,45.0
Class 6 IRC,6,ATHENA,,125.0
Class 6 IRC,7,POLLY'S KETTLE,,64.0
Class 6 IRC,8,2XS,,71.0
Class 6 IRC,9,VETO,,101.0
Class 6 IRC,10,PADDIYWACK,,90.0
Class 6 IRC,11,MANARU,,101.0
Class 6 IRC,12,CELERITY,,99.0
Class 6 IRC,13,WILD BLUE,,168.0
Class 6 IRC,14,DOMAINE,,158.0
Class 6 IRC,15,EASY TIGER,,182.0
Class 6 IRC,16,FANDANGO,,134.0
Class 6 IRC,17,CISNE,,187.0
Class 6 IRC,18,MERHABA,,169.0
Class 6 IRC,19,ALFA HELIX,,156.0
Class 6 IRC,20,THISBE,,206.0
Class 6 IRC,21,OPPOSITION,,208.0
Class 6 IRC,22,AYESHA,,198.0
Class 6 IRC,23,SUNBOW II,,182.0
Class 6 IRC,24,AVIVA,,224.5
Class 6 IRC,25,TIGERFIRE,,234.5
Class 6 IRC,26,SKYWAVE,,226.0
Class 6 IRC,27,BUCCANEER OF UPNOR,,245.0
Class 6 IRC,28,FIREBIRD,,246.0
Class 6 IRC,29,SUNDANCER,,269.0
Class 6 IRC,30,SEAHORSE FLYER,,274.0
Class 6 IRC,31,PAPILLON,,281.0
Class 6 IRC,32,WAIMANU,,282.0
Class 6 IRC,33,DARWIN STAR,,283.5
Class 6 IRC,34,RESOLUTION,,288.0
Class 6 IRC,35,DUMBLEDORE,,294.0
Class 6 IRC,36,DOTTY DOT,,307.0
Class 6 IRC,37,ST GEORGE,,308.0
Class 6 IRC,38,TANGO,,317.0
Class 6 IRC,39,CHARGER,,318.0
Class 6 IRC,40,SPIRIT OF DAEDALUS,,330.0
Class 6 IRC,41,BLUE TANGO,,331.0
Class 6 IRC,42,DREAMSPIRIT,,331.0
Class 6 IRC,43,SOLENT STAR,,352.0
Class 7 IRC (Sigma 33),1,SHADOWFAX,,30.0
Class 7 IRC (Sigma 33),2,WORKOUT,,30.0
Class 7 IRC (Sigma 33),3,ALEXA,,33.0
Class 7 IRC (Sigma 33),4,ATTILA THE NUN,,38.0
Class 7 IRC (Sigma 33),5,HERITAGE,,58.0
Class 7 IRC (Sigma 33),6,SIXES AND SEVENS,,64.0
Class 7 IRC (Sigma 33),7,PROSPERO OF HAMBLE,,71.5
Class 7 IRC (Sigma 33),8,MUSKOKA,,72.0
Class 7 IRC (Sigma 33),9,SPIRIT OF KUDU,,70.0
Class 7 IRC (Sigma 33),10,COUNTDOWN,,91.0
Class 7 IRC (Sigma 33),11,EXCELLE,,93.5
Class 7 IRC (Sigma 33),12,CHASER,,102.0
Class 7 IRC (Sigma 33),13,STICKLEBACK,,108.0
Class 7 IRC (Sigma 33),14,ODALISQUE,,111.0
Class 7 IRC (Sigma 33),15,EPHESIAN,,128.0
Class 8 IRC,1,WHITE MISCHIEF,,45.5
Class 8 IRC,2,SLINKY,,63.0
Class 8 IRC,3,LITTLE EMILY,,57.0
Class 8 IRC,4,SIMPLICITY,,59.5
Class 8 IRC,5,RAINBOW,,68.0
Class 8 IRC,6,HOBBY HORSE,,84.0
Class 8 IRC,7,REACTION,,95.0
Class 8 IRC,8,WHITE HEATHER,,74.0
Class 8 IRC,9,KYMATA,,78.0
Class 8 IRC,10,CRAKAJAX,,98.0
Class 8 IRC,11,MURENA,,107.0
Class 8 IRC,12,BLACKBERRY,R,100.0
Class 8 IRC,13,A DAY AT THE RACES,,133.0
Class 8 IRC,14,AELANA,,138.0
Class 8 IRC,15,ERIK THE RED,,126.0
Class 8 IRC,16,CURVED AIR,,139.0
Class 8 IRC,17,DRAKES DRUM,,128.0
Class 8 IRC,18,CONTEZA,,150.0
Class 8 IRC,19,XARA,,134.0
Class 8 IRC,20,PINBALL WIZARD,,169.0
Class 8 IRC,21,MIN-O-DIN,,156.0
Class 8 IRC,22,FIREBIRD,,178.0
Class 8 IRC,23,DABRA,,190.0
Class 8 IRC,24,GFT,,196.0
Class 8 IRC,25,LITTLE SPIRIT,,193.0
Class 8 IRC,26,CHERUBINO,,206.0
Class 8 IRC,27,HELMI,,206.0
Class 8 IRC,28,UNICORN,,205.0
Class 8 IRC,29,GAZELLE,,230.0
Class 8 IRC,30,DEBORAH ANNE II,,239.0
Class 8 IRC,31,FEELING FRISKY,,250.0
Class 8 IRC,32,MOONTIGER OF SOLENT,,260.0
Class 8 IRC,33,SOUTH WIND,,268.0
Class 8 IRC,34,SINBAD,,278.0
Class 9 IRC,1,MADELAINE,,34.0
Class 9 IRC,2,PALOMA,,23.0
Class 9 IRC,3,THE APPRENTICE,,28.0
Class 9 IRC,4,FRANKIE THE RHINO,,35.0
Class 9 IRC,5,G-STRING,,73.0
Class 9 IRC,6,MERGANSER,,84.0
Class 9 IRC,7,PIZZICATO,,80.0
Class 9 IRC,8,ROSAIRE,,102.0
Class 9 IRC,9,FSHARP,,74.0
Class 9 IRC,10,DOLLY,,99.0
Class 9 IRC,11,XANTZ,,122.0
Class 9 IRC,12,PRESTO,,117.0
Class 9 IRC,13,SHARP,,135.0
Class 9 IRC,14,STIRLING,,124.0
Class 9 IRC,15,CYRA,,143.0
Class 9 IRC,16,RODEO,,143.0
Class 9 IRC,17,FAT HEN,,144.0
Class 9 IRC,18,NOOKA,,141.0
Class 9 IRC,19,FIRECRACKER,,149.0
Class 9 IRC,20,MARBELLA,,150.0
Class 9 IRC,21,BARRACUDA,,151.0
Class 9 IRC,22,HUBBLE BUBBLE,,155.0
Class 9 IRC,23,SEA WINKS,,190.0
Class 9 IRC,24,SELENE,,194.0
Class 9 IRC,25,AVOCET,,202.0
Class 9 IRC,26,SCHERZO,,216.0
