Region,Year,Venue,HostEvent,ChampionshipFleet,IRCAtVenue,AllBoatsAtVenue,VenueStable,Basis
Welsh,2022,Pwllheli,Cardigan Bay Celtic Regatta,10,10,10,yes,Sailwave; only a combined overall was published
Welsh,2023,Pwllheli,Cardigan Bay Celtic Regatta,17,17,17,yes,Sailwave; Class 1 9 / Class 2 8
Welsh,2024,Pwllheli,Cardigan Bay Celtic Regatta,19,19,19,yes,Sailwave; Class 1 10 / Class 2 9
Welsh,2025,Pwllheli,Cardigan Bay Celtic Regatta,17,17,22,yes,Sailwave; Class 1 8 / Class 2 9 plus YTC 5
Welsh,2026,Pwllheli,Cardigan Bay Celtic Regatta,16,16,19,yes,Sailwave; IRC 1 9 / IRC 2 7 plus YTC 3
Bristol Channel,2022,Portishead,Shanghai Cup,6,6,6,yes,Sailwave; only the passage race standings published
Bristol Channel,2023,Portishead,Shanghai Cup,9,9,9,yes,Sailwave; only the passage race standings published
Bristol Channel,2024,Portishead,Shanghai Cup,13,13,13,yes,Sailwave overall standings
Bristol Channel,2025,Portishead,Shanghai Cup,11,11,11,yes,Sailwave overall standings
Bristol Channel,2026,Portishead,Shanghai Cup,16,16,16,yes,"Sailwave overall standings. The published entry list carries 17, so this is finishers"
Scottish,2022,North Clyde Regatta,North Clyde Regatta,,,,NO,"the Scottish Series itself was CANCELLED in 2022 - for want of volunteers rather than entries, per Afloat - and the Scottish IRC Championship moved to the North Clyde Regatta on 10 September. Results not captured. Scotland is therefore not a fixed-venue region after all"
Scottish,2023,Tarbert,Jura Scottish Series,25,25,,mostly,"club results PDF; Class 1 5 / Class 2 (RC35) 15 / Class 3 5. Counted by distinct sail number, so an all-digit sail number is missed - a floor"
Scottish,2024,Tarbert,Jura Scottish Series,20,20,,mostly,club results PDF; RC35 9 / IRC Fleet 2 11. Same counting caveat as 2023
Scottish,2025,Tarbert,Jura Scottish Series,27,27,84,mostly,club results PDF (HalSail export); IRC 1 10 / IRC 2 11 / IRC Coastal 6
Scottish,2026,Tarbert,Jura Scottish Series,24,24,82,mostly,HalSail live event 5118; IRC 1 14 / IRC Coastal 10
Channel Islands,2022,Jersey,Jersey Regatta,,,,yes,"results were on HalSail, but HalSail purges old series from the live site and Jersey's own site only ever linked the live URL. The Wayback Machine captured the results INDEX for 2021-24 (event 3485/4673/4985, naming the classes) but never the results tables, and the live series ids now return an empty page. Recoverable only from the Royal Channel Islands YC or HalSail"
Channel Islands,2023,Jersey,Jersey Regatta,,,,yes,"results were on HalSail, but HalSail purges old series from the live site and Jersey's own site only ever linked the live URL. The Wayback Machine captured the results INDEX for 2021-24 (event 3485/4673/4985, naming the classes) but never the results tables, and the live series ids now return an empty page. Recoverable only from the Royal Channel Islands YC or HalSail"
Channel Islands,2024,Jersey,Jersey Regatta,,,,yes,"results were on HalSail, but HalSail purges old series from the live site and Jersey's own site only ever linked the live URL. The Wayback Machine captured the results INDEX for 2021-24 (event 3485/4673/4985, naming the classes) but never the results tables, and the live series ids now return an empty page. Recoverable only from the Royal Channel Islands YC or HalSail"
