RaceName,Regatta,Note
Season Standings,RORC Season Points Championship,The season series standings rather than a race. Kept as its own regatta so the overall series entry stays visible.
Cervantes Trophy Race,RORC Cervantes Trophy Race,
50th Deauville Race / Cervantes Trophy,RORC Cervantes Trophy Race,The 2018 edition ran as a joint Deauville/Cervantes race.
Myth of Malham Race,RORC Myth of Malham Race,
De Guingand Bowl Race,RORC De Guingand Bowl Race,
Morgan Cup Race,RORC Morgan Cup Race,
Channel Race,RORC Channel Race,
Cherbourg Race,RORC Cherbourg Race,
Cowes Dinard St Malo Race,RORC Cowes Dinard St Malo Race,
Cowes - Dinard - St Malo Race,RORC Cowes Dinard St Malo Race,Spacing variant of the same race.
Cowes-Dinard-St Malo Race,RORC Cowes Dinard St Malo Race,Spacing variant of the same race.
North Sea Race,RORC North Sea Race,
East Coast Race,RORC East Coast Race,
Castle Rock Race,RORC Castle Rock Race,
Lyver Trophy Race,RORC Lyver Trophy Race,
Ile d'Ouessant Race,RORC Ile d'Ouessant Race,
Isle of Man Midnight Race,RORC Isle of Man Midnight Race,
La Trinite Cowes Race,RORC La Trinite-Cowes Race,
La Trinité Cowes Race,RORC La Trinite-Cowes Race,Accent variant of the same race.
Rolex Fastnet Race,Rolex Fastnet Race,
Rolex Middle Sea Race,Rolex Middle Sea Race,
Rolex Middle Sea Race 2021,Rolex Middle Sea Race,The year is in the race name; the event's own season carries it.
RORC Caribbean 600,RORC Caribbean 600 Race,
RORC Caribbean 600 Race,RORC Caribbean 600 Race,
RORC Transatlantic Race,RORC Transatlantic Race,
RORC Transatlantic Race 2015,RORC Transatlantic Race,The year is in the race name; the event's own season carries it.
RORC Transatlantic Race 2016,RORC Transatlantic Race,The year is in the race name; the event's own season carries it.
RORC Transatlantic Race 2017,RORC Transatlantic Race,The year is in the race name; the event's own season carries it.
RORC Transatlantic Race 2018,RORC Transatlantic Race,The year is in the race name; the event's own season carries it.
RORC Transatlantic Race 2019,RORC Transatlantic Race,The year is in the race name; the event's own season carries it.
Round Ireland Race,RORC Round Ireland Race,
Volvo Round Ireland Race,RORC Round Ireland Race,Sponsor variant of the same race.
Volvo Round Ireland Yacht Race,RORC Round Ireland Race,Sponsor variant of the same race.
SSE Renewables Round Ireland Race,RORC Round Ireland Race,Sponsor variant of the same race.
Sevenstar Round Britain and Ireland Race,RORC Round Britain and Ireland Race,
